  iter       grad(x_k)           value          M         x(1)       x(2)       x(3)       x(4)       x(5)
     1      8.5791e+00      4.8000e+00     0.3000 | -1.0000e+00 8.0000e-01 4.4000e-01 -6.4000e-03 -1.9996e-01
     2      2.8767e+00      3.0342e+00     0.3000 | -7.3508e-01 5.8986e-01 3.2523e-01 6.4017e-02 -2.0900e-03
     3      3.6795e+00      1.9940e+00     2.4000 | -3.2171e-01 1.1318e-01 -1.1865e-01 -1.5851e-01 -2.2432e-02
     4      2.7423e+00      8.5275e-01     4.8000 | 2.5404e-01 -1.5760e-01 -6.6867e-02 -3.0177e-02 -1.6487e-02
     5      1.0799e+00      3.9601e-01     4.8000 | 4.1875e-01 8.6524e-02 -5.3567e-02 -4.0091e-04 -1.9233e-03
     6      6.7730e-01      1.9668e-01     4.8000 | 6.0358e-01 2.9000e-01 3.5860e-02 -6.2806e-03 -1.2025e-04
     7      3.7211e-01      1.0410e-01     4.8000 | 7.0590e-01 4.5654e-01 1.7087e-01 1.0031e-02 -1.6301e-04
     8      2.4043e-01      6.0091e-02     4.8000 | 7.7589e-01 5.7184e-01 3.0152e-01 7.0924e-02 1.2551e-03
     9      1.6029e-01      3.7147e-02     4.8000 | 8.2204e-01 6.5365e-01 4.0960e-01 1.5217e-01 1.5971e-02
    10      1.1388e-01      2.4381e-02     4.8000 | 8.5478e-01 7.1346e-01 4.9629e-01 2.3450e-01 4.7155e-02
    11      8.3159e-02      1.6785e-02     4.8000 | 8.7863e-01 7.5811e-01 5.6513e-01 3.1063e-01 8.9456e-02
    12      6.3085e-02      1.1996e-02     4.8000 | 8.9677e-01 7.9268e-01 6.2078e-01 3.7878e-01 1.3759e-01
    13      4.9388e-02      8.8303e-03     4.8000 | 9.1100e-01 8.2015e-01 6.6653e-01 4.3918e-01 1.8807e-01
    14      3.9592e-02      6.6542e-03     4.8000 | 9.2244e-01 8.4250e-01 7.0472e-01 4.9262e-01 2.3877e-01
    15      3.2288e-02      5.1078e-03     4.8000 | 9.3184e-01 8.6103e-01 7.3707e-01 5.4003e-01 2.8845e-01
    16      2.6675e-02      3.9782e-03     4.8000 | 9.3970e-01 8.7664e-01 7.6481e-01 5.8227e-01 3.3643e-01
    17      2.2266e-02      3.1339e-03     4.8000 | 9.4638e-01 8.8998e-01 7.8887e-01 6.2010e-01 3.8236e-01
    18      1.8745e-02      2.4907e-03     4.8000 | 9.5212e-01 9.0153e-01 8.0995e-01 6.5415e-01 4.2611e-01
    19      1.5896e-02      1.9928e-03     4.8000 | 9.5712e-01 9.1161e-01 8.2858e-01 6.8494e-01 4.6764e-01
    20      1.3564e-02      1.6024e-03     4.8000 | 9.6151e-01 9.2051e-01 8.4517e-01 7.1293e-01 5.0699e-01
    30      3.2706e-03      1.8283e-04     4.8000 | 9.8694e-01 9.7272e-01 9.4551e-01 8.9361e-01 7.9825e-01
    40      6.4260e-04      9.5731e-06     4.8000 | 9.9701e-01 9.9372e-01 9.8733e-01 9.7474e-01 9.5007e-01
    50      6.9696e-06      1.2312e-09     4.8000 | 9.9997e-01 9.9993e-01 9.9986e-01 9.9971e-01 9.9942e-01
    52      6.7088e-08      1.1412e-13     4.8000 | 1.0000e+00 1.0000e+00 1.0000e+00 1.0000e+00 9.9999e-01
