  iter       grad(x_k)           value          M         x(1)       x(2)
     1      8.2462e+00      4.2000e+00     0.3000 | -1.0000e+00 8.0000e-01
     2      6.4847e+00      2.5425e+00     0.3000 | -4.0564e-01 -1.7210e-01
     3      2.5624e+00      1.2307e+00     0.3000 | -8.5188e-02 -9.5812e-02
     4      2.2684e+00      6.2488e-01     2.4000 | 3.8448e-01 -7.3993e-02
     5      6.1423e-01      2.1371e-01     2.4000 | 5.4695e-01 2.5803e-01
     6      9.2312e-01      7.0595e-02     2.4000 | 7.8194e-01 5.4354e-01
     7      1.4902e-01      1.6270e-02     2.4000 | 8.7684e-01 7.5400e-01
     8      1.2143e-01      2.4705e-03     2.4000 | 9.5457e-01 9.0219e-01
     9      2.3217e-02      1.4877e-04     2.4000 | 9.8854e-01 9.7534e-01
    10      2.3117e-03      1.1758e-06     2.4000 | 9.9899e-01 9.9780e-01
    11      2.1234e-05      1.0243e-10     2.4000 | 9.9999e-01 9.9998e-01
    12      1.8935e-09      8.0617e-19     2.4000 | 1.0000e+00 1.0000e+00
